"id","me","tema","enunciado","alternativa_a","alternativa_b","alternativa_c","alternativa_d","correta","explicacao"
"ed27cd83-568f-470d-bd1e-55b45eaba112","ME1","Qual o principal mecanismo de ação dos anestésicos","Qual o principal mecanismo de ação dos anestésicos locais?","Bloqueio dos canais de cálcio","Bloqueio dos canais de sódio","Ativação dos receptores GABA","Inibição dos receptores NMDA","B",""
"082f1b38-0624-4cfb-87e4-d2cb5b023d2c","ME1","Qual anestésico local possui menor duração de ação","Qual anestésico local possui menor duração de ação?","Bupivacaína","Ropivacaína","Lidocaína","Tetracaína","C",""
"1851d814-d5b2-4d71-9145-603eea6cdfa0","ME1","Qual estrutura é atravessada na punção peridural l","Qual estrutura é atravessada na punção peridural lombar?","Pia-máter","Aracnoide","Ligamento amarelo","Medula espinhal","C",""
"413c65ba-7699-4125-8cd4-00e07d18bd0e","ME1","Qual é a principal complicação imediata da anestes","Qual é a principal complicação imediata da anestesia raquidiana?","Hipertensão","Hipotensão arterial","Hiperglicemia","Broncoespasmo","B",""
"e3419ce8-8263-4f07-ab0f-9a2cd01a3506","ME1","Qual nervo é bloqueado no bloqueio interescalênico","Qual nervo é bloqueado no bloqueio interescalênico?","Nervo femoral","Plexo braquial","Nervo tibial","Nervo facial","B",""
"aeae2fc4-1fe2-445d-8180-accbb6cd243d","ME1","Qual anestésico local está mais associado à metahe","Qual anestésico local está mais associado à metahemoglobinemia?","Lidocaína","Prilocaína","Bupivacaína","Ropivacaína","B",""
"b3c12d78-1a9c-4b18-8e68-e5c08bc3d6a8","ME1","Qual o principal objetivo da analgesia multimodal?","Qual o principal objetivo da analgesia multimodal?","Aumentar consumo de opioides","Reduzir efeitos adversos e melhorar analgesia","Substituir anestesia geral","Produzir sedação profunda","B",""
"ca670aa2-cd5b-42b4-83c2-b4744c6d701e","ME1","Qual é o dermátomo aproximado necessário para cesa","Qual é o dermátomo aproximado necessário para cesariana sob raquianestesia?","T12","T10","T6","T4","D",""
"f32536cc-d841-47ed-a260-50735feba758","ME1","Qual complicação é mais frequente após bloqueio in","Qual complicação é mais frequente após bloqueio interescalênico?","Pneumotórax bilateral","Paralisia frênica","Lesão medular","Hipertensão pulmonar","B",""
"84a5c2b0-2164-4ee5-a063-340bb9835f68","ME1","Qual droga pode ser adicionada ao anestésico local","Qual droga pode ser adicionada ao anestésico local para prolongar bloqueio regional?","Atropina","Adrenalina","Flumazenil","Naloxona","B",""
"f9488fc7-8487-436e-bae7-631faf99c96f","ME1","Qual nervo é responsável pela inervação motora pri","Qual nervo é responsável pela inervação motora principal do diafragma?","Vago","Frênico","Hipoglosso","Facial","B",""
"ff3f5c07-5528-44f7-b497-d771b35756c1","ME1","Qual o principal efeito adverso da morfina neuraxi","Qual o principal efeito adverso da morfina neuraxial?","Hipertensão","Depressão respiratória tardia","Hiperglicemia","Arritmia ventricular","B",""
"e783d0e6-7ad5-41f6-83ab-4b30b0ea2070","ME1","Qual bloqueio é indicado para analgesia de cirurgi","Qual bloqueio é indicado para analgesia de cirurgia de ombro?","Femoral","Intercostal","Interescalênico","Ciático","C",""
"2a3ac4c1-5c1d-409f-bab2-d9491057829f","ME1","Qual complicação sistêmica grave pode ocorrer com","Qual complicação sistêmica grave pode ocorrer com anestésicos locais?","Hipotireoidismo","Toxicidade sistêmica","Hiperglicemia","Hipocalemia","B",""
"95c0a573-ac89-4ab4-a0c0-53e2e419e8d3","ME1","Qual posição é mais utilizada para realização de r","Qual posição é mais utilizada para realização de raquianestesia?","Trendelenburg","Decúbito ventral","Sentado ou lateral","Ortostática","C",""
"6a735ce8-89a6-4cbe-b7b6-a9c292ad9171","ME1","Qual anestésico local possui menor cardiotoxicidad","Qual anestésico local possui menor cardiotoxicidade entre os de longa duração?","Bupivacaína","Ropivacaína","Tetracaína","Cloroprocaína","B",""
"1663be5a-83ae-469e-9255-c74d4fc7ea7b","ME1","Qual a principal indicação do bloqueio do nervo fe","Qual a principal indicação do bloqueio do nervo femoral?","Cirurgia de ombro","Cirurgia de joelho","Cirurgia de mão","Cirurgia ocular","B",""
"b1fd58dc-b81a-4a31-9035-d81a2b09b4ad","ME1","Qual o principal sinal precoce de toxicidade sistê","Qual o principal sinal precoce de toxicidade sistêmica por anestésico local?","Cianose","Zumbido e gosto metálico","Hiperglicemia","Edema pulmonar","B",""
"2af8ac54-f649-444a-9828-92e3c6464b76","ME1","Qual opioide possui maior potência analgésica?","Qual opioide possui maior potência analgésica?","Codeína","Morfina","Fentanil","Tramadol","C",""
"6ed62981-4099-4212-90af-3e116c92682e","ME1","Qual bloqueio regional é frequentemente associado","Qual bloqueio regional é frequentemente associado à síndrome de Horner?","Femoral","Intercostal","Interescalênico","Ciático","C",""
"b06625a2-626a-4880-956f-c79120c31875","ME1","Qual fármaco é utilizado para tratamento inicial d","Qual fármaco é utilizado para tratamento inicial da toxicidade sistêmica grave por anestésico local?","Protamina","Emulsão lipídica","Naloxona","Flumazenil","B",""
"6f2f8bef-51c1-445e-939a-36574dded481","ME1","Qual a principal vantagem do ultrassom em anestesi","Qual a principal vantagem do ultrassom em anestesia regional?","Aumentar toxicidade","Visualizar estruturas anatômicas","Eliminar necessidade de assepsia","Impedir totalmente complicações","B",""
"f492c0f6-d5df-4f46-918f-33a472b274ed","ME1","Qual anestésico local possui início de ação mais r","Qual anestésico local possui início de ação mais rápido?","Bupivacaína","Ropivacaína","Lidocaína","Tetracaína","C",""
"2f55c46a-5184-4a1e-b49d-544e1a2b40fb","ME1","Qual o principal mecanismo da hipotensão após raqu","Qual o principal mecanismo da hipotensão após raquianestesia?","Hipovolemia absoluta","Bloqueio simpático","Depressão miocárdica intensa","Hipoxemia","B",""
"1a460398-4f84-4f1c-9a6a-eefd39417fc5","ME1","Qual nervo deve ser bloqueado para analgesia da fa","Qual nervo deve ser bloqueado para analgesia da face lateral da coxa?","Obturatório","Cutâneo lateral da coxa","Femoral","Ciático","B",""
"54bd7208-3da2-4f9a-8fc5-957b4ad51ba2","ME1","Qual opioide é mais associado à liberação de hista","Qual opioide é mais associado à liberação de histamina?","Fentanil","Remifentanil","Morfina","Sufentanil","C",""
"fbfe1f04-3a19-4a33-b0cc-2759efdb0821","ME1","Qual é a principal contraindicação absoluta para r","Qual é a principal contraindicação absoluta para raquianestesia?","Hipertensão arterial","Infecção no local da punção","Diabetes mellitus","Obesidade","B",""
"f0ceaf95-adc6-4b13-bd01-a490e2c5d9b6","ME1","Qual complicação respiratória pode ocorrer após bl","Qual complicação respiratória pode ocorrer após bloqueio interescalênico?","Bronquiectasia","Paralisia hemidiafragmática","Edema agudo pulmonar","Pneumonia","B",""
"8c21649b-661f-4a08-8bed-c988c2a54cb1","ME1","Qual adjuvante pode aumentar duração da analgesia","Qual adjuvante pode aumentar duração da analgesia neuraxial?","Clonidina","Flumazenil","Atropina","Protamina","A",""
"45d3ad10-39ab-450d-aad5-a2b0813707cd","ME1","Qual o principal benefício da analgesia regional n","Qual o principal benefício da analgesia regional no pós-operatório?","Aumento do consumo de opioides","Melhor controle da dor","Maior incidência de náuseas","Hiperglicemia","B",""
"9500a4ae-b327-45cf-844c-43984c62aae3","ME1","Qual o principal objetivo da ventilação mecânica n","Qual o principal objetivo da ventilação mecânica no intraoperatório?","Produzir alcalose respiratória","Garantir adequada oxigenação e ventilação","Aumentar consumo de oxigênio","Induzir hipercapnia","B",""
"45cf981c-91f5-46f2-ab35-8045a2a0b3f7","ME1","Qual parâmetro é utilizado para avaliar ventilação","Qual parâmetro é utilizado para avaliar ventilação alveolar?","Pressão arterial","Capnografia","Temperatura","Hemoglobina","B",""
"8ab7f23a-e19a-4832-9685-0b153e28674f","ME1","Qual modo ventilatório fornece volume corrente fix","Qual modo ventilatório fornece volume corrente fixo?","Ventilação espontânea","CPAP","Ventilação controlada a volume","PSV","C",""
"21845ece-d469-45d6-bec0-47863b1668f1","ME1","Qual é o principal risco da pressão excessiva no c","Qual é o principal risco da pressão excessiva no cuff do tubo traqueal?","Hipertensão arterial","Lesão traqueal","Hiperglicemia","Broncodilatação","B",""
"41365870-3493-4432-ad0b-2183eb1a2446","ME1","Qual complicação é mais comum na intubação seletiv","Qual complicação é mais comum na intubação seletiva inadvertida?","Ventilação de um único pulmão","Broncoespasmo","Edema cerebral","Hipoglicemia","A",""
"e85f638a-012e-4689-a115-5e90189d96b2","ME1","Qual valor normal aproximado do ETCO2 em adultos s","Qual valor normal aproximado do ETCO2 em adultos saudáveis?","10 mmHg","20 mmHg","35-45 mmHg","60-70 mmHg","C",""
"92a28193-a11a-4bc9-ab3c-567b7573e36d","ME1","Qual é a principal função da PEEP na ventilação me","Qual é a principal função da PEEP na ventilação mecânica?","Reduzir oxigenação","Prevenir colapso alveolar","Produzir acidose","Aumentar espaço morto","B",""
"2ba65170-705f-441d-a19e-c276f6861d02","ME1","Qual complicação pode ocorrer com volumes corrente","Qual complicação pode ocorrer com volumes correntes excessivos?","Volutrauma","Hipoglicemia","Bradicardia vagal","Hipotireoidismo","A",""
"0efb745f-1349-4828-87b5-4a75f8a18ccf","ME1","Qual estrutura impede a entrada de alimentos na tr","Qual estrutura impede a entrada de alimentos na traqueia durante deglutição?","Cordas vocais","Epiglote","Palato mole","Úvula","B",""
"75019665-05e5-4c90-8893-656daa2d513a","ME1","Qual fator aumenta risco de aspiração pulmonar?","Qual fator aumenta risco de aspiração pulmonar?","Jejum adequado","Obesidade e refluxo gastroesofágico","Uso de oxigênio suplementar","Hipervolemia","B",""
"3b155d6e-f221-481f-b463-5d9da7c82439","ME1","Qual dispositivo é considerado via aérea supraglót","Qual dispositivo é considerado via aérea supraglótica?","Tubo orotraqueal","Máscara laríngea","Fibroscópio","Laringoscópio","B",""
"a89ac0e4-9dc8-4937-bca9-51b9359b8c9c","ME1","Qual é o principal efeito fisiológico do pneumoper","Qual é o principal efeito fisiológico do pneumoperitônio laparoscópico?","Redução da pressão intra-abdominal","Aumento da pressão intratorácica","Hipotermia cerebral","Redução da resistência vascular","B",""
"e86c2c01-1a36-4edf-985f-923beb2c2f97","ME1","Qual gás é mais utilizado para pneumoperitônio?","Qual gás é mais utilizado para pneumoperitônio?","Oxigênio","Nitrogênio","Dióxido de carbono","Hélio","C",""
"2f1d53fc-c41e-4828-bd14-d2543752ca51","ME1","Qual complicação pode ocorrer durante inserção de","Qual complicação pode ocorrer durante inserção de acesso venoso central em jugular interna?","Pneumotórax","Hiperglicemia","Edema cerebral","Bronquiectasia","A",""
"df546ef6-b6da-4fae-bf56-01ac6d875239","ME1","Qual monitorização avalia atividade elétrica cardí","Qual monitorização avalia atividade elétrica cardíaca continuamente?","Capnografia","ECG","Oximetria","Temperatura","B",""
"e13615f5-2c3c-4c7e-9af6-e6d760f7a4ad","ME1","Qual complicação está relacionada ao posicionament","Qual complicação está relacionada ao posicionamento inadequado intraoperatório?","Lesão nervosa periférica","Hipertireoidismo","Hiperglicemia","Broncodilatação","A",""
"3f1ad952-64fc-4096-85f2-28607c2725d9","ME1","Qual posição cirúrgica aumenta risco de embolia aé","Qual posição cirúrgica aumenta risco de embolia aérea venosa?","Trendelenburg","Sentada","Decúbito dorsal","Litotomia","B",""
"f8210187-fc28-4d98-aee5-ab62b4cbbcc2","ME1","Qual é a principal indicação da pressão arterial i","Qual é a principal indicação da pressão arterial invasiva?","Cirurgias sem risco","Monitorização contínua da PA","Controle de glicemia","Monitorização da temperatura","B",""
"6fb5a854-407c-45b1-b743-4153d8478b27","ME1","Qual complicação metabólica pode ocorrer após tran","Qual complicação metabólica pode ocorrer após transfusão maciça?","Hipocalcemia","Hipercalcemia","Hipoglicemia obrigatória","Alcalose respiratória","A",""
"8d23fda8-7cf7-4add-be97-693c596e722d","ME1","Qual exame avalia oxigenação arterial diretamente?","Qual exame avalia oxigenação arterial diretamente?","Capnografia","Gasometria arterial","ECG","Hemograma","B",""
"3e8cf35e-208e-4925-9488-d9c4acf35143","ME1","Qual é a principal causa de hipoxemia no pós-opera","Qual é a principal causa de hipoxemia no pós-operatório imediato?","Atelectasia","Hipertensão arterial","Hiperglicemia","Bronquiectasia","A",""
"2c0941a5-bab3-4004-bd01-4e7047e9b04a","ME1","Qual é a principal função do surfactante pulmonar?","Qual é a principal função do surfactante pulmonar?","Aumentar tensão superficial","Reduzir colapso alveolar","Produzir muco","Aumentar espaço morto","B",""
"bd129d40-1595-41dc-a3fe-16f385093b89","ME1","Qual complicação respiratória pode ocorrer após ex","Qual complicação respiratória pode ocorrer após extubação precoce?","Hipoventilação","Hiperglicemia","Hipertireoidismo","Acidose metabólica obrigatória","A",""
"a86fa9fc-4df7-4e55-9566-76989e94b410","ME1","Qual fator desloca a curva de dissociação da hemog","Qual fator desloca a curva de dissociação da hemoglobina para a direita?","Hipotermia","Hipocapnia","Acidose","Alcalose","C",""
"0e28db47-77fc-4765-bcd7-223bd22b2c1a","ME1","Qual o principal efeito da hipercapnia?","Qual o principal efeito da hipercapnia?","Vasoconstrição cerebral","Broncodilatação leve","Hipotermia","Hipoglicemia","B",""
"2f980ae7-0e7c-4036-9039-f619ffda3d7a","ME1","Qual estrutura anatômica é mais frequentemente les","Qual estrutura anatômica é mais frequentemente lesionada na punção da veia subclávia?","Pleura","Fígado","Baço","Traqueia","A",""
"f3075dd8-c8b0-41f0-bc9d-5bfdd740538b","ME1","Qual valor de pressão do cuff é considerado seguro","Qual valor de pressão do cuff é considerado seguro?","0-5 cmH2O","20-30 cmH2O","40-50 cmH2O","60-70 cmH2O","B",""
"41441fd0-92ce-412c-b6b8-a0c8d5471264","ME1","Qual complicação pode ocorrer em posição litotômic","Qual complicação pode ocorrer em posição litotômica prolongada?","Síndrome compartimental","Hipotireoidismo","Broncoespasmo","Hiperglicemia","A",""
"e3a71512-8474-48a9-bd24-1800f0583941","ME1","Qual dispositivo é utilizado para confirmação da i","Qual dispositivo é utilizado para confirmação da intubação traqueal?","Estetoscópio isoladamente","Capnografia","Termômetro","Esfigmomanômetro","B",""
"fb84f144-1837-4100-9439-7c8d060d4644","ME1","Qual o principal mecanismo da atelectasia durante","Qual o principal mecanismo da atelectasia durante anestesia geral?","Aumento da capacidade residual funcional","Redução da capacidade residual funcional","Hiperglicemia","Broncodilatação intensa","B",""
"972874b6-2f17-48a7-bfaf-b15708c6bffd","ME1","Paciente obeso mórbido em ventilação mecânica apre","Paciente obeso mórbido em ventilação mecânica apresenta aumento progressivo da pressão de pico, porém pressão platô normal. Qual a causa mais provável?","Redução da complacência pulmonar","Broncoespasmo","Pneumotórax hipertensivo","Edema agudo pulmonar","B",""
"94933a97-970b-45dd-accf-d1a4dc5f53b9","ME1","Durante ventilação controlada a volume ocorre aume","Durante ventilação controlada a volume ocorre aumento simultâneo da pressão de pico e pressão platô. Qual condição é mais provável?","Obstrução do tubo orotraqueal","Broncoespasmo leve","Redução da complacência pulmonar","Acúmulo de secreção no filtro","C",""
"52bad495-f95f-417a-8fde-5f063f51dd29","ME1","Qual alteração fisiológica é mais esperada durante","Qual alteração fisiológica é mais esperada durante posição de Trendelenburg acentuado?","Redução da pressão intracraniana","Aumento do retorno venoso e pressão intracraniana","Hipovolemia absoluta","Redução da pressão intraocular","B",""
"69fa2231-2fe0-4d5b-85c1-1b196b9e3a2c","ME1","Paciente apresenta ETCO2 progressivamente reduzido","Paciente apresenta ETCO2 progressivamente reduzido associado à hipotensão súbita e dessaturação durante artroplastia cimentada. Qual hipótese diagnóstica é mais provável?","Broncoespasmo","Embolia pulmonar por cimento","Intubação seletiva","Hipotermia","B",""
"0fb850bd-03af-4df6-b44e-3dc4872fe45e","ME1","Qual fator aumenta mais significativamente o risco","Qual fator aumenta mais significativamente o risco de auto-PEEP?","Frequência respiratória elevada","Volume corrente reduzido","Tempo expiratório prolongado","PEEP baixa","A",""
"5a5ad7a3-4419-48b9-9250-db49f010a1fb","ME1","Durante laparoscopia ocorre aumento abrupto do ETC","Durante laparoscopia ocorre aumento abrupto do ETCO2 sem alteração hemodinâmica importante. Qual a causa mais provável?","Embolia gasosa maciça","Absorção sistêmica de CO2","Hipovolemia","Intubação esofágica","B",""
"a52e20cb-74f5-4f3b-8459-5bf2bcd7b87c","ME1","Qual alteração gasométrica é mais compatível com h","Qual alteração gasométrica é mais compatível com hipoventilação alveolar?","PaCO2 reduzida","PaCO2 elevada","pH elevado e PaCO2 baixa","Alcalose respiratória","B",""
"cb35a811-fb42-4a3e-ab79-7918ced63d8a","ME1","Na ventilação monopulmonar, qual pulmão recebe pre","Na ventilação monopulmonar, qual pulmão recebe preferencialmente maior perfusão em decúbito lateral?","Pulmão não dependente","Pulmão superior","Pulmão dependente","Ambos igualmente","C",""
"fd6cab84-2e7d-467c-aa52-6532d533b7bd","ME1","Qual condição mais favorece dessaturação rápida du","Qual condição mais favorece dessaturação rápida durante apneia?","Obesidade mórbida","Baixo consumo metabólico","Pré-oxigenação adequada","Posição sentada","A",""
"ea29cb6c-6fad-4fe5-a02e-cbd15f9ae388","ME1","Qual mecanismo explica hipotensão após indução ane","Qual mecanismo explica hipotensão após indução anestésica com propofol?","Vasoconstrição periférica","Aumento do retorno venoso","Vasodilatação e depressão miocárdica","Liberação intensa de catecolaminas","C",""
"5a440ccd-52d6-4c3a-bd4a-d17d19298bd8","ME1","Durante ventilação mecânica, qual parâmetro melhor","Durante ventilação mecânica, qual parâmetro melhor representa complacência estática?","Pressão de pico","Diferença entre pressão platô e PEEP","Frequência respiratória","Fluxo inspiratório","B",""
"c711be14-d1d8-403e-ba17-4053ab91c53a","ME1","Paciente asmático apresenta broncoespasmo grave ap","Paciente asmático apresenta broncoespasmo grave após intubação. Qual medida inicial é mais apropriada?","Suspender oxigênio","Aumentar fluxo de gases e aprofundar anestesia","Extubar imediatamente","Reduzir tempo expiratório","B",""
"9d537d3e-c988-4aa6-92ce-9fb6698c653e","ME1","Qual situação aumenta o risco de barotrauma durant","Qual situação aumenta o risco de barotrauma durante ventilação mecânica?","Baixas pressões inspiratórias","Volumes correntes excessivos","PEEP ausente","Hipocapnia","B",""
"622ff806-7cf4-4767-a963-4b2f9aa8f4f3","ME1","Durante anestesia geral ocorre redução da capacida","Durante anestesia geral ocorre redução da capacidade residual funcional principalmente devido a:","Aumento do volume residual","Deslocamento cefálico do diafragma","Broncodilatação intensa","Aumento da complacência torácica","B",""
"93d08163-4a4b-4d37-a5f9-e07ef2b241df","ME1","Qual alteração hemodinâmica é mais comum após apli","Qual alteração hemodinâmica é mais comum após aplicação de pressão positiva nas vias aéreas?","Aumento importante do retorno venoso","Redução do retorno venoso","Aumento do débito cardíaco em todos os pacientes","Bradicardia obrigatória","B",""
"adc616f0-af4a-4215-8d6e-667fe79584b2","ME1","Qual fator aumenta mais significativamente o risco","Qual fator aumenta mais significativamente o risco de aspiração pulmonar perioperatória?","Jejum prolongado","Gestação","Uso de máscara laríngea","Hiperventilação","B",""
"cd8e623c-8709-4278-9a6e-f7c4ab6f5c83","ME1","Na embolia aérea venosa, qual alteração auscultató","Na embolia aérea venosa, qual alteração auscultatória clássica pode ocorrer?","Sopro tubário","Sopro em roda d’água","Estridor inspiratório","Atrito pleural","B",""
"8bf51617-1629-44ba-a990-4f94fff1581d","ME1","Qual estratégia reduz risco de atelectasia intraop","Qual estratégia reduz risco de atelectasia intraoperatória?","FiO2 100% contínua","PEEP adequada","Ventilação com baixos volumes sem recrutamento","Hipoventilação permissiva","B",""
"ffcc8678-df3d-4da2-ad7e-50a154de0a59","ME1","Qual complicação pode ocorrer após remoção rápida","Qual complicação pode ocorrer após remoção rápida de pneumoperitônio?","Hipotensão arterial","Hiperglicemia","Hipertensão intracraniana","Broncoespasmo obrigatório","A",""
"992b9472-874d-4955-91cb-db5bcbf79924","ME1","Qual alteração ventilatória é esperada em paciente","Qual alteração ventilatória é esperada em paciente com DPOC grave?","Tempo expiratório reduzido","Aprisionamento aéreo","Baixa resistência de vias aéreas","Hipocapnia persistente","B",""
"8308b518-8a82-494e-9d63-0520b5f79e76","ME1","Qual parâmetro sugere adequadamente posicionamento","Qual parâmetro sugere adequadamente posicionamento traqueal do tubo após intubação?","Expansão torácica isolada","Visualização do tubo passando pelas cordas","Capnografia sustentada","Ausculta gástrica negativa","C",""
"7ddaf4e8-69c2-4814-86f5-5fcbb6ddaf05","ME1","Qual condição aumenta consumo de oxigênio perioper","Qual condição aumenta consumo de oxigênio perioperatório?","Hipotermia","Febre","Sedação profunda","Bloqueio neuromuscular","B",""
"528d3f57-612a-4e71-a868-b1f1d435768c","ME1","Durante ventilação controlada, qual alteração ocor","Durante ventilação controlada, qual alteração ocorre em hipovolemia importante?","Elevação da variação da pressão de pulso","Redução da variação respiratória","Hipertensão sustentada","Aumento do ETCO2","A",""
"eff12fc2-b04a-4696-9af2-0a208fac8bba","ME1","Qual alteração fisiológica ocorre durante hipercap","Qual alteração fisiológica ocorre durante hipercapnia aguda?","Vasoconstrição cerebral","Aumento do fluxo cerebral","Redução da atividade simpática","Hipocalemia importante","B",""
"3e20f739-bc64-4db3-9424-dc11ab93976e","ME1","Qual o principal mecanismo de hipoxemia durante an","Qual o principal mecanismo de hipoxemia durante anestesia geral?","Shunt intrapulmonar","Hiperventilação","Aumento da difusão alveolar","Redução do consumo de oxigênio","A",""
"d2525468-8dad-46f8-89a0-f8727484bf3c","ME1","Qual situação contraindica máscara laríngea como p","Qual situação contraindica máscara laríngea como primeira escolha?","Cirurgia de curta duração","Jejum adequado","Alto risco de aspiração","Paciente ASA I","C",""
"238b9508-7cf8-4a56-9e80-a9a5b32863ed","ME1","Qual alteração pode ocorrer em pneumotórax hiperte","Qual alteração pode ocorrer em pneumotórax hipertensivo intraoperatório?","Aumento unilateral do murmúrio vesicular","Hipotensão e aumento da pressão de vias aéreas","Redução da pressão intratorácica","Bradicardia vagal isolada","B",""
"0e924c1e-be52-4815-bc9b-dbeff1194def","ME1","Qual medida reduz risco de lesão pulmonar induzida","Qual medida reduz risco de lesão pulmonar induzida pela ventilação?","Volumes correntes elevados","Ventilação protetora","PEEP zero","Hiperventilação intensa","B",""
"62ce8f95-7502-4035-ad84-44bf3b474f03","ME1","Qual condição favorece redução do ETCO2 sem altera","Qual condição favorece redução do ETCO2 sem alteração da ventilação?","Aumento do débito cardíaco","Embolia pulmonar","Febre","Hipermetabolismo","B",""
"dcb9dfdc-c5d1-49d4-8c52-ae78b538e590","ME1","Qual a principal consequência fisiológica da compr","Qual a principal consequência fisiológica da compressão aortocava na gestante?","Hipertensão grave","Redução do retorno venoso","Aumento do débito cardíaco","Hiperglicemia","B",""
"739de4a8-8e7c-41c5-9421-1034c96c5ee6","ME1","Qual alteração ventilatória é mais comum após indu","Qual alteração ventilatória é mais comum após indução anestésica geral?","Aumento da capacidade residual funcional","Redução da complacência pulmonar","Hiperventilação espontânea","Aumento do volume residual","B",""
"cdfa99fe-8d8d-433b-8349-dc65651c1453","ME1","Qual é o principal objetivo da pré-oxigenação ante","Qual é o principal objetivo da pré-oxigenação antes da indução anestésica?","Aumentar produção de CO2","Prolongar tempo seguro de apneia","Reduzir complacência pulmonar","Produzir alcalose respiratória","B",""
"6748b5f7-b306-4819-a2a0-10b919c62394","ME1","Qual condição aumenta o risco de via aérea difícil","Qual condição aumenta o risco de via aérea difícil?","Distância tireomentoniana reduzida","Pescoço longo","Boa abertura oral","Mallampati I","A",""
"5bcb30a0-e481-4252-931b-b756da5ba6a4","ME1","Qual é a principal causa de hipercapnia durante an","Qual é a principal causa de hipercapnia durante anestesia?","Hiperventilação","Hipoventilação alveolar","Hipotermia","Hipoglicemia","B",""
